ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Country,Sport,Event,Medal
281,S. Abdul Hamid,M,21,NA,NA,India,IND,1928 Summer,1928,Summer,Amsterdam,Netherlands,Athletics,Athletics Men's 110 metres Hurdles,NA
281,S. Abdul Hamid,M,21,NA,NA,India,IND,1928 Summer,1928,Summer,Amsterdam,Netherlands,Athletics,Athletics Men's 400 metres Hurdles,NA
512,Shiny Kurisingal Abraham-Wilson,F,19,167,53,India,IND,1984 Summer,1984,Summer,Los Angeles,United States of America,Athletics,Athletics Women's 800 metres,NA
512,Shiny Kurisingal Abraham-Wilson,F,19,167,53,India,IND,1984 Summer,1984,Summer,Los Angeles,United States of America,Athletics,Athletics Women's 4 x 400 metres Relay,NA
512,Shiny Kurisingal Abraham-Wilson,F,23,167,53,India,IND,1988 Summer,1988,Summer,Seoul,South Korea,Athletics,Athletics Women's 800 metres,NA
512,Shiny Kurisingal Abraham-Wilson,F,23,167,53,India,IND,1988 Summer,1988,Summer,Seoul,South Korea,Athletics,Athletics Women's 4 x 400 metres Relay,NA
512,Shiny Kurisingal Abraham-Wilson,F,27,167,53,India,IND,1992 Summer,1992,Summer,Barcelona,Spain,Athletics,Athletics Women's 800 metres,NA
512,Shiny Kurisingal Abraham-Wilson,F,31,167,53,India,IND,1996 Summer,1996,Summer,Atlanta,United States of America,Athletics,Athletics Women's 4 x 400 metres Relay,NA
663,Sharath Kamal Achanta,M,22,186,85,India,IND,2004 Summer,2004,Summer,Athina,Greece,Table Tennis,Table Tennis Men's Singles,NA
663,Sharath Kamal Achanta,M,26,186,85,India,IND,2008 Summer,2008,Summer,Beijing,China,Table Tennis,Table Tennis Men's Singles,NA
663,Sharath Kamal Achanta,M,34,186,85,India,IND,2016 Summer,2016,Summer,Rio de Janeiro,Brazil,Table Tennis,Table Tennis Men's Singles,NA
952,Badathala Adisekhar,M,28,NA,53,India,IND,1992 Summer,1992,Summer,Barcelona,Spain,Weightlifting,Weightlifting Men's Flyweight,NA
952,Badathala Adisekhar,M,32,NA,53,India,IND,1996 Summer,1996,Summer,Atlanta,United States of America,Weightlifting,Weightlifting Men's Flyweight,NA
1105,Mirza Najib Aga,M,19,NA,NA,India,IND,1996 Summer,1996,Summer,Atlanta,United States of America,Judo,Judo Men's Half-Lightweight,NA
1149,Neha Aggarwal,F,18,170,67,India,IND,2008 Summer,2008,Summer,Beijing,China,Table Tennis,Table Tennis Women's Singles,NA
1331,Jahan Ahir,M,27,NA,NA,India,IND,1948 Summer,1948,Summer,London,England,Water Polo,Water Polo Men's Water Polo,NA
1366,Jitendarjit Singh Ahluwalia,M,25,179,69,India,IND,1980 Summer,1980,Summer,Moskva,Russia,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",NA
1366,Jitendarjit Singh Ahluwalia,M,25,179,69,India,IND,1980 Summer,1980,Summer,Moskva,Russia,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",NA
1399,A. Hussain Ahmed,M,18,NA,NA,India,IND,1956 Summer,1956,Summer,Melbourne,Australia,Football,Football Men's Football,NA
1415,Shakeel Ahmed,M,21,NA,NA,India,IND,1992 Summer,1992,Summer,Barcelona,Spain,Hockey,Hockey Men's Hockey,NA
1455,Neha Ahuja,F,24,162,54,India,IND,2006 Winter,2006,Winter,Torino,Italy,Alpine Skiing,Alpine Skiing Women's Giant Slalom,NA
1455,Neha Ahuja,F,24,162,54,India,IND,2006 Winter,2006,Winter,Torino,Italy,Alpine Skiing,Alpine Skiing Women's Slalom,NA
1710,Balkrishan Akotkar,M,27,171,57,India,IND,1964 Summer,1964,Summer,Tokyo,Japan,Athletics,Athletics Men's Marathon,NA
2453,Anil Alexander Aldrin,M,24,NA,NA,India,IND,1996 Summer,1996,Summer,Atlanta,United States of America,Hockey,Hockey Men's Hockey,NA
2699,Shaukat Ali,M,30,NA,NA,India,IND,1928 Summer,1928,Summer,Amsterdam,Netherlands,Hockey,Hockey Men's Hockey,Gold
2702,Syed Ali,M,19,169,60,India,IND,1976 Summer,1976,Summer,Montreal,Canada,Hockey,Hockey Men's Hockey,NA
2703,Syed Mushtaq Ali,M,22,165,61,India,IND,1964 Summer,1964,Summer,Tokyo,Japan,Hockey,Hockey Men's Hockey,Gold
2706,Sayed Zeeshan Ali,M,18,180,64,India,IND,1988 Summer,1988,Summer,Seoul,South Korea,Tennis,Tennis Men's Singles,NA
2864,Richard James Allen,M,25,172,NA,India,IND,1928 Summer,1928,Summer,Amsterdam,Netherlands,Hockey,Hockey Men's Hockey,Gold
2864,Richard James Allen,M,30,172,NA,India,IND,1932 Summer,1932,Summer,Los Angeles,United States of America,Hockey,Hockey Men's Hockey,Gold
2864,Richard James Allen,M,34,172,NA,India,IND,1936 Summer,1936,Summer,Berlin,Germany,Hockey,Hockey Men's Hockey,Gold
3053,Bobby Aloysius,F,30,173,55,India,IND,2004 Summer,2004,Summer,Athina,Greece,Athletics,Athletics Women's High Jump,NA
3436,Jehangoo Amin,M,NA,NA,NA,India,IND,1948 Summer,1948,Summer,London,England,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",NA
3538,Anand Amritraj,M,36,185,77,India,IND,1988 Summer,1988,Summer,Seoul,South Korea,Tennis,Tennis Men's Doubles,NA
3539,Vijay Amritraj,M,34,193,75,India,IND,1988 Summer,1988,Summer,Seoul,South Korea,Tennis,Tennis Men's Singles,NA
3539,Vijay Amritraj,M,34,193,75,India,IND,1988 Summer,1988,Summer,Seoul,South Korea,Tennis,Tennis Men's Doubles,NA
4000,"Ganpatrao Krishnaji ""Ganpat"" Andhalkar-Patil",M,29,183,97,India,IND,1964 Summer,1964,Summer,Tokyo,Japan,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",NA
4000,"Ganpatrao Krishnaji ""Ganpat"" Andhalkar-Patil",M,29,183,97,India,IND,1964 Summer,1964,Summer,Tokyo,Japan,Wrestling,"Wrestling Men's Heavyweight, Freestyle",NA
4251,Imtiaz Anees,M,29,158,60,India,IND,2000 Summer,2000,Summer,Sydney,Australia,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",NA
4395,Subbaiah Anjaparavanda Bopaiah,M,25,169,60,India,IND,1996 Summer,1996,Summer,Atlanta,United States of America,Hockey,Hockey Men's Hockey,NA
4504,Berland Anthony,M,NA,NA,NA,India,IND,1952 Summer,1952,Summer,Helsinki,Finland,Football,Football Men's Football,NA
4510,Joseph Anthony,M,NA,NA,NA,India,IND,1952 Summer,1952,Summer,Helsinki,Finland,Football,Football Men's Football,NA
4518,"Joseph Anthony ""Joe"" Antic",M,29,168,59,India,IND,1960 Summer,1960,Summer,Roma,Italy,Hockey,Hockey Men's Hockey,Silver
