,R_fighter,B_fighter,date,location,Weight Class,Championship Bout,Format,Winner,last_round,win_by,R_KD,R_SIG_STR,R_SIG_STR_ATT,R_SIG_STR_pct,R_TOTAL_STR,R_TOTAL_STR_ATT,R_TOTAL_STR_pct,R_TD,R_TD_ATT,R_TD_pct,R_SUB_ATT,R_PASS,R_REV,R_HEAD,R_HEAD_ATT,R_HEAD_pct,R_BODY,R_BODY_ATT,R_BODY_pct,R_LEG,R_LEG_ATT,R_LEG_pct,R_CLINCH,R_CLINCH_ATT,R_CLINCH_pct,R_GROUND,R_GROUND_ATT,R_GROUND_pct,R_DIST,R_DIST_ATT,R_DIST_pct,B_KD,B_SIG_STR,B_SIG_STR_ATT,B_SIG_STR_pct,B_TOTAL_STR,B_TOTAL_STR_ATT,B_TOTAL_STR_pct,B_TD,B_TD_ATT,B_TD_pct,B_SUB_ATT,B_PASS,B_REV,B_HEAD,B_HEAD_ATT,B_HEAD_pct,B_BODY,B_BODY_ATT,B_BODY_pct,B_LEG,B_LEG_ATT,B_LEG_pct,B_CLINCH,B_CLINCH_ATT,B_CLINCH_pct,B_GROUND,B_GROUND_ATT,B_GROUND_pct,B_DIST,B_DIST_ATT,B_DIST_pct
0,Henry Cejudo,Marlon Moraes,6/8/2019,"Chicago, Illinois, USA",Bantamweight,YES,5 Rnd (5-5-5-5-5),Henry Cejudo,3,KO/TKO,0,90,171,0.52,99,182,0.5439560439560439,1,4,0.25,1,1,0,73,150,0.4866666666666667,13,16,0.8125,4,5,0.8,19,23,0.8260869565217391,26,30,0.8666666666666667,45,118,0.3813559322033898,0,57,119,0.47,59,121,0.48760330578512395,0,2,0.0,0,0,0,35,89,0.39325842696629215,7,8,0.875,15,22,0.6818181818181818,2,2,1.0,1,1,1.0,54,116,0.46551724137931033
1,Valentina Shevchenko,Jessica Eye,6/8/2019,"Chicago, Illinois, USA",Women's Flyweight,YES,5 Rnd (5-5-5-5-5),Valentina Shevchenko,2,KO/TKO,1,8,11,0.72,37,40,0.925,2,2,1.0,1,3,0,4,5,0.8,4,6,0.6666666666666666,0,0,0.0,2,2,1.0,1,1,1.0,5,8,0.625,0,2,12,0.16,42,52,0.8076923076923077,0,0,0.0,0,0,0,0,7,0.0,0,2,0.0,2,3,0.6666666666666666,0,0,0.0,0,0,0.0,2,12,0.16666666666666666
2,Tony Ferguson,Donald Cerrone,6/8/2019,"Chicago, Illinois, USA",Lightweight,NO,3 Rnd (5-5-5),Tony Ferguson,2,KO/TKO,0,104,200,0.52,104,200,0.52,0,0,0.0,0,0,0,65,144,0.4513888888888889,25,37,0.6756756756756757,14,19,0.7368421052631579,1,2,0.5,0,0,0.0,103,198,0.5202020202020202,0,68,185,0.36,68,185,0.3675675675675676,1,1,1.0,0,0,0,43,152,0.28289473684210525,15,23,0.6521739130434783,10,10,1.0,0,1,0.0,0,0,0.0,68,184,0.3695652173913043
3,Jimmie Rivera,Petr Yan,6/8/2019,"Chicago, Illinois, USA",Bantamweight,NO,3 Rnd (5-5-5),Petr Yan,3,Decision - Unanimous,0,73,192,0.38,76,195,0.38974358974358975,0,3,0.0,0,0,0,42,145,0.2896551724137931,15,24,0.625,16,23,0.6956521739130435,9,15,0.6,4,4,1.0,60,173,0.3468208092485549,2,56,189,0.29,58,192,0.3020833333333333,1,3,0.33,0,1,0,40,166,0.24096385542168675,13,19,0.6842105263157895,3,4,0.75,10,12,0.8333333333333334,4,10,0.4,42,167,0.25149700598802394
4,Tai Tuivasa,Blagoy Ivanov,6/8/2019,"Chicago, Illinois, USA",Heavyweight,NO,3 Rnd (5-5-5),Blagoy Ivanov,3,Decision - Unanimous,0,64,144,0.44,66,146,0.4520547945205479,0,0,0.0,0,0,0,39,114,0.34210526315789475,6,7,0.8571428571428571,19,23,0.8260869565217391,14,18,0.7777777777777778,0,0,0.0,50,126,0.3968253968253968,1,73,123,0.59,81,131,0.6183206106870229,2,2,1.0,0,0,0,65,114,0.5701754385964912,7,8,0.875,1,1,1.0,5,6,0.8333333333333334,6,6,1.0,62,111,0.5585585585585585
5,Tatiana Suarez,Nina Ansaroff,6/8/2019,"Chicago, Illinois, USA",Women's Strawweight,NO,3 Rnd (5-5-5),Tatiana Suarez,3,Decision - Unanimous,0,75,142,0.52,95,166,0.572289156626506,4,13,0.3,0,2,0,29,85,0.3411764705882353,22,29,0.7586206896551724,24,28,0.8571428571428571,7,7,1.0,26,35,0.7428571428571429,42,100,0.42,0,48,99,0.48,54,105,0.5142857142857142,0,0,0.0,0,0,0,31,66,0.4696969696969697,15,26,0.5769230769230769,2,7,0.2857142857142857,4,5,0.8,5,5,1.0,39,89,0.43820224719101125
6,Aljamain Sterling,Pedro Munhoz,6/8/2019,"Chicago, Illinois, USA",Bantamweight,NO,3 Rnd (5-5-5),Aljamain Sterling,3,Decision - Unanimous,0,174,349,0.49,175,350,0.5,0,7,0.0,0,0,0,123,250,0.492,36,73,0.4931506849315068,15,26,0.5769230769230769,2,11,0.18181818181818182,0,0,0.0,172,338,0.5088757396449705,0,105,265,0.39,108,269,0.40148698884758366,0,0,0.0,0,0,0,44,159,0.27672955974842767,29,64,0.453125,32,42,0.7619047619047619,3,8,0.375,0,0,0.0,102,257,0.3968871595330739
7,Karolina Kowalkiewicz,Alexa Grasso,6/8/2019,"Chicago, Illinois, USA",Women's Strawweight,NO,3 Rnd (5-5-5),Alexa Grasso,3,Decision - Unanimous,0,90,232,0.38,92,234,0.39316239316239315,0,0,0.0,0,0,0,55,186,0.2956989247311828,27,33,0.8181818181818182,8,13,0.6153846153846154,11,15,0.7333333333333333,0,0,0.0,79,217,0.3640552995391705,0,148,369,0.4,163,384,0.4244791666666667,0,0,0.0,1,0,0,92,289,0.31833910034602075,33,46,0.717391304347826,23,34,0.6764705882352942,25,30,0.8333333333333334,0,0,0.0,123,339,0.36283185840707965
8,Ricardo Lamas,Calvin Kattar,6/8/2019,"Chicago, Illinois, USA",Featherweight,NO,3 Rnd (5-5-5),Calvin Kattar,1,KO/TKO,0,12,29,0.41,12,29,0.41379310344827586,0,1,0.0,0,0,0,2,12,0.16666666666666666,4,5,0.8,6,12,0.5,0,0,0.0,0,0,0.0,12,29,0.41379310344827586,1,22,41,0.53,22,41,0.5365853658536586,0,0,0.0,0,0,0,11,28,0.39285714285714285,11,13,0.8461538461538461,0,0,0.0,2,2,1.0,4,5,0.8,16,34,0.47058823529411764
9,Yan Xiaonan,Angela Hill,6/8/2019,"Chicago, Illinois, USA",Women's Strawweight,NO,3 Rnd (5-5-5),Yan Xiaonan,3,Decision - Unanimous,0,94,249,0.37,105,264,0.3977272727272727,1,1,1.0,0,1,0,64,199,0.32160804020100503,11,22,0.5,19,28,0.6785714285714286,8,17,0.47058823529411764,3,3,1.0,83,229,0.3624454148471616,0,71,144,0.49,78,151,0.5165562913907285,1,3,0.33,1,0,0,44,110,0.4,21,26,0.8076923076923077,6,8,0.75,13,15,0.8666666666666667,2,2,1.0,56,127,0.4409448818897638
10,Bevon Lewis,Darren Stewart,6/8/2019,"Chicago, Illinois, USA",Middleweight,NO,3 Rnd (5-5-5),Darren Stewart,3,Decision - Unanimous,0,31,84,0.36,45,98,0.45918367346938777,0,5,0.0,0,0,0,13,49,0.2653061224489796,12,23,0.5217391304347826,6,12,0.5,16,22,0.7272727272727273,0,0,0.0,15,62,0.24193548387096775,0,30,73,0.41,40,84,0.47619047619047616,0,0,0.0,0,0,0,11,52,0.21153846153846154,5,6,0.8333333333333334,14,15,0.9333333333333333,12,18,0.6666666666666666,0,0,0.0,18,55,0.32727272727272727
11,Eddie Wineland,Grigorii Popov,6/8/2019,"Chicago, Illinois, USA",Bantamweight,NO,3 Rnd (5-5-5),Eddie Wineland,2,KO/TKO,2,74,171,0.43,74,171,0.4327485380116959,0,2,0.0,0,0,0,48,129,0.37209302325581395,23,39,0.5897435897435898,3,3,1.0,0,1,0.0,4,5,0.8,70,165,0.42424242424242425,0,55,150,0.36,55,150,0.36666666666666664,0,1,0.0,0,0,0,24,97,0.24742268041237114,20,39,0.5128205128205128,11,14,0.7857142857142857,3,4,0.75,0,0,0.0,52,146,0.3561643835616438
