,Fighter Name,Nickname,W,L,D,Height,Weight,Reach,Stance,DOB,Age,SLPM,SAPM,STRA,STRD,TD,TDA,TDD,SUBA
0,Tom Aaron,None,5,3,0,NA,155 lbs.,NA,NA,13-Jul-78,42,0,0,0,0,0,0,0,0
1,Danny Abbadi,The Assassin,4,6,0,"5' 11""",155 lbs.,NA,Orthodox,3-Jul-83,37,3.29,4.41,0.38,0.57,0,0,0.77,0
2,David Abbott,Tank,10,14,0,"6' 0""",265 lbs.,NA,Switch,NA,0,1.35,3.55,0.3,0.38,1.07,0.33,0.66,0
3,Shamil Abdurakhimov,Abrek,20,5,0,"6' 3""",235 lbs.,"76""",Orthodox,2-Sep-81,39,2.53,2.53,0.45,0.58,1.36,0.22,0.77,0.3
4,Hiroyuki Abe,Abe Ani,8,14,3,"5' 6""",145 lbs.,NA,Orthodox,NA,0,1.71,3.11,0.36,0.63,0,0,0.33,0
5,Daichi Abe,None,6,2,0,"5' 11""",170 lbs.,"71""",Orthodox,27-Nov-91,29,4.2,2.87,0.34,0.67,1,1,0,0
6,Papy Abedi,Makambo,9,3,0,"5' 11""",185 lbs.,"74""",Southpaw,30-Jun-78,42,2.8,3.15,0.55,0.48,3.47,0.57,0.5,1.3
7,Ricardo Abreu,Demente,5,3,0,"5' 11""",185 lbs.,"73""",Orthodox,27-Apr-84,36,3.79,3.98,0.31,0.68,2.13,0.42,1,0.7
8,Klidson Abreu,White Bear,15,4,0,"6' 0""",235 lbs.,"74""",Orthodox,24-Dec-92,28,NA,NA,NA,NA,NA,NA,NA,NA
9,Daniel Acacio,None,26,12,0,"5' 8""",180 lbs.,NA,Orthodox,27-Dec-77,43,3.52,2.85,0.36,0.62,0.33,0.2,0.81,0
10,Scott Adams,None,8,1,0,"6' 0""",225 lbs.,NA,Southpaw,NA,0,0,0,0,0,0,0,0,0
11,Juan Adams,The Kraken,5,3,0,"6' 5""",265 lbs.,"80""",Orthodox,16-Jan-92,28,NA,NA,NA,NA,NA,NA,NA,NA
12,Anthony Adams,Sugafoot,7,1,0,"6' 0""",185 lbs.,"77""",Orthodox,13-Jan-88,32,NA,NA,NA,NA,NA,NA,NA,NA
13,Israel Adesanya,The Last Stylebender,19,0,0,"6' 4""",185 lbs.,"80""",Switch,22-Jul-89,31,3.96,2.4,0.48,0.65,0,0,0.86,0.3
14,Sam Adkins,The Experience,7,20,2,"6' 3""",225 lbs.,NA,Orthodox,26-Apr-65,55,0,0,0,0,0,0,0,0
15,Nick Agallar,None,24,6,0,"5' 8""",155 lbs.,NA,Orthodox,13-Jan-79,41,0.69,4.56,0.11,0.42,0,0,0,0
16,Mariya Agapova,None,6,1,0,NA,125 lbs.,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
17,Marcelo Aguiar,None,2,3,1,"5' 10""",170 lbs.,NA,Orthodox,NA,0,0,0,0,0,0,0,0,0
18,Edwin Aguilar,Tigre,22,16,0,"5' 10""",185 lbs.,NA,NA,NA,0,0,0,0,0,0,0,0,0
